Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T2.avi,face_track,GREY_W,,33,26.77,34.55,0.034,0.851,-25.39,23.8,-72.03,21.25,84.27,82.76,109.66,102.87,-25.39,-22.81,22.81
s28,vid_s28_T2.avi,face_track,GREY_A,,33,26.78,34.54,0.018,0.919,-25.3,23.88,-72.09,21.5,84.37,82.85,109.66,102.87,-25.3,-22.42,22.42
s28,vid_s28_T2.avi,face_track,PCA_1,,33,26.79,34.51,0.035,0.847,-25.35,23.78,-71.96,21.26,84.32,82.73,109.66,102.87,-25.35,-22.29,22.29
s28,vid_s28_T2.avi,face_track,PCA_2,,33,22.46,28.97,0.005,0.979,-16.44,24.22,-63.91,31.04,93.23,93.41,109.66,102.87,-16.44,-13.87,15.98
s28,vid_s28_T2.avi,face_track,PCA_3,,33,24.39,31.78,-0.159,0.375,-19.48,25.5,-69.46,30.51,90.19,88.57,109.66,102.87,-19.48,-13.25,17.7
s28,vid_s28_T2.avi,face_track,ZCA_1,,33,25.14,32.29,-0.062,0.732,-20.97,24.93,-69.84,27.91,88.7,87.68,109.66,102.87,-20.97,-17.23,20.44
s28,vid_s28_T2.avi,face_track,ZCA_2,,33,24.69,33.47,-0.163,0.364,-21.93,25.68,-72.25,28.4,87.74,87.54,109.66,102.87,-21.93,-14.81,19.95
s28,vid_s28_T2.avi,face_track,ZCA_3,,33,22.22,28.78,-0.007,0.969,-15.69,24.5,-63.71,32.33,93.98,95.04,109.66,102.87,-15.69,-14.15,16.4
s28,vid_s28_T2.avi,face_track,ICA_1,,33,23.47,29.49,-0.075,0.677,-16.52,24.8,-65.13,32.1,93.15,92.91,109.66,102.87,-16.52,-15.5,16.25
s28,vid_s28_T2.avi,face_track,Best_ICA_2,,33,24.71,31.78,-0.203,0.256,-19.68,25.34,-69.35,29.99,89.98,88.88,109.66,102.87,-19.68,-16.88,18.55
s28,vid_s28_T2.avi,face_track,ICA_3,,33,26.6,34.77,-0.051,0.78,-25.05,24.49,-73.05,22.94,84.61,83.71,109.66,102.87,-25.05,-22.6,22.6
s28,vid_s28_T2.avi,face_track,CHROM,,33,22.19,29.59,-0.248,0.165,-15.63,25.51,-65.64,34.38,94.03,94.92,109.66,102.87,-15.63,-9.54,17.83
s28,vid_s28_T2.avi,face_track,POS,,33,21.57,28.57,-0.175,0.33,-14.68,24.9,-63.47,34.12,94.99,95.03,109.66,102.87,-14.68,-8.67,14.64
s28,vid_s28_T2.avi,bbox_forehead,R,,33,23.38,31.57,0.015,0.935,-20.49,24.39,-68.29,27.32,89.18,89.18,109.66,102.87,-20.49,-17.96,17.96
s28,vid_s28_T2.avi,bbox_forehead,G,,33,23.02,31.47,0.067,0.711,-20.73,24.04,-67.85,26.38,88.93,88.4,109.66,102.87,-20.73,-14.72,14.93
s28,vid_s28_T2.avi,bbox_forehead,B,,33,23.87,31.25,0.026,0.885,-19.88,24.49,-67.88,28.12,89.78,90.77,109.66,102.87,-19.88,-16.56,18.68
s28,vid_s28_T2.avi,bbox_forehead,GREY_W,,33,23.12,31.47,0.048,0.79,-20.58,24.17,-67.95,26.78,89.08,89.09,109.66,102.87,-20.58,-15.97,15.97
s28,vid_s28_T2.avi,bbox_forehead,GREY_A,,33,23.21,31.41,0.038,0.832,-20.4,24.25,-67.93,27.13,89.26,89.33,109.66,102.87,-20.4,-16.77,16.77
s28,vid_s28_T2.avi,bbox_forehead,PCA_1,,33,23.19,31.43,0.037,0.839,-20.43,24.25,-67.97,27.11,89.23,89.2,109.66,102.87,-20.43,-16.82,16.82
s28,vid_s28_T2.avi,bbox_forehead,PCA_2,,33,27.53,34.1,0.136,0.449,-25.04,23.5,-71.1,21.03,84.63,85.17,109.66,102.87,-25.04,-20.07,22.32
s28,vid_s28_T2.avi,bbox_forehead,PCA_3,,33,24.07,31.82,-0.368,0.035,-17.89,26.73,-70.27,34.49,91.78,92.54,109.66,102.87,-17.89,-12.08,18.15
s28,vid_s28_T2.avi,bbox_forehead,ZCA_1,,33,24.35,31.97,-0.118,0.513,-20.03,25.3,-69.62,29.56,89.64,89.11,109.66,102.87,-20.03,-17.97,19.63
s28,vid_s28_T2.avi,bbox_forehead,ZCA_2,,33,24.2,32.2,-0.203,0.257,-20.31,25.37,-70.04,29.42,89.35,89.58,109.66,102.87,-20.31,-17.04,17.56
